rule_id,rule_version,period,cost_type,allocation_basis,target_dimension,effective_start,effective_end,is_active,description
RULE_202501_01_V2,V2,2025-01,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-01-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202501_02_V2,V2,2025-01,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-01-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202501_03_V2,V2,2025-01,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-01-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202501_04_V2,V2,2025-01,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-01-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202501_05_V2,V2,2025-01,BRANCH_OPERATION_COST,AREA,BRANCH,2025-01-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202501_06_V2,V2,2025-01,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-01-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202501_07_V2,V2,2025-01,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-01-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202501_08_V2,V2,2025-01,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-01-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202501_09_V2,V2,2025-01,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-01-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202501_10_V2,V2,2025-01,BRANCH_OPERATION_COST,AREA,BRANCH,2025-01-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202502_01_V2,V2,2025-02,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-01-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202502_02_V2,V2,2025-02,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-01-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202502_03_V2,V2,2025-02,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-01-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202502_04_V2,V2,2025-02,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-01-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202502_05_V2,V2,2025-02,BRANCH_OPERATION_COST,AREA,BRANCH,2025-01-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202502_06_V2,V2,2025-02,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-01-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202502_07_V2,V2,2025-02,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-01-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202502_08_V2,V2,2025-02,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-01-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202502_09_V2,V2,2025-02,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-01-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202502_10_V2,V2,2025-02,BRANCH_OPERATION_COST,AREA,BRANCH,2025-01-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202503_01_V2,V2,2025-03,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-01-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202503_02_V2,V2,2025-03,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-01-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202503_03_V2,V2,2025-03,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-01-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202503_04_V2,V2,2025-03,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-01-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202503_05_V2,V2,2025-03,BRANCH_OPERATION_COST,AREA,BRANCH,2025-01-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202503_06_V2,V2,2025-03,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-01-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202503_07_V2,V2,2025-03,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-01-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202503_08_V2,V2,2025-03,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-01-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202503_09_V2,V2,2025-03,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-01-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202503_10_V2,V2,2025-03,BRANCH_OPERATION_COST,AREA,BRANCH,2025-01-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202504_01_V2,V2,2025-04,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-01-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202504_02_V2,V2,2025-04,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-01-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202504_03_V2,V2,2025-04,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-01-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202504_04_V2,V2,2025-04,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-01-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202504_05_V2,V2,2025-04,BRANCH_OPERATION_COST,AREA,BRANCH,2025-01-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202504_06_V2,V2,2025-04,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-01-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202504_07_V2,V2,2025-04,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-01-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202504_08_V2,V2,2025-04,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-01-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202504_09_V2,V2,2025-04,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-01-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202504_10_V2,V2,2025-04,BRANCH_OPERATION_COST,AREA,BRANCH,2025-01-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202505_01_V2,V2,2025-05,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-01-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202505_02_V2,V2,2025-05,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-01-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202505_03_V2,V2,2025-05,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-01-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202505_04_V2,V2,2025-05,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-01-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202505_05_V2,V2,2025-05,BRANCH_OPERATION_COST,AREA,BRANCH,2025-01-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202505_06_V2,V2,2025-05,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-01-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202505_07_V2,V2,2025-05,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-01-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202505_08_V2,V2,2025-05,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-01-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202505_09_V2,V2,2025-05,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-01-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202505_10_V2,V2,2025-05,BRANCH_OPERATION_COST,AREA,BRANCH,2025-01-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202506_01_V2,V2,2025-06,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-01-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202506_02_V2,V2,2025-06,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-01-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202506_03_V2,V2,2025-06,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-01-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
RULE_202506_04_V2,V2,2025-06,RESEARCH_SUPPORT_COST,REVENUE,BRANCH,2025-01-01,2025-12-31,True,研究支持成本按REVENUE分摊到营业部
RULE_202506_05_V2,V2,2025-06,BRANCH_OPERATION_COST,AREA,BRANCH,2025-01-01,2025-12-31,True,营业部运营成本按AREA分摊到营业部
RULE_202506_06_V2,V2,2025-06,IT_SYSTEM_COST,TRADE_COUNT,BRANCH,2025-01-01,2025-12-31,True,IT系统成本按TRADE_COUNT分摊到营业部
RULE_202506_07_V2,V2,2025-06,MARKET_DATA_COST,ACTIVE_CUSTOMER,BRANCH,2025-01-01,2025-12-31,True,行情资讯成本按ACTIVE_CUSTOMER分摊到营业部
RULE_202506_08_V2,V2,2025-06,HQ_MANAGEMENT_COST,HEADCOUNT,BRANCH,2025-01-01,2025-12-31,True,总部管理成本按HEADCOUNT分摊到营业部
